year,country,GDP
1960,美国,543300000000 
1960,英国,73233967692 
1960,法国,62225478000 
1960,中国,59716467625 
1960,日本,44307342950 
1960,加拿大,40461721692 
1960,意大利,40385288344 
1960,印度,37029883875 
1960,澳大利亚,18577668271 
1960,瑞典,15822585033 
1960,巴西,15165569912 
1960,土耳其,13995067817 
1960,墨西哥,13040000000 
1960,荷兰,12276734172 
1960,西班牙,12072126075 
1960,比利时,11658722590 
1960,瑞士,9522746719 
1960,委内瑞拉,7779090909 
1960,南非,7575396972 
1960,菲律宾,6684568805 
1960,奥地利,6592693841 
1960,丹麦,6248946880 
1960,新西兰,5485854791 
1960,芬兰,5224102195 
1960,挪威,5163271598 
1960,希腊,4335186016 
1960,孟加拉,4274893913 
1960,伊朗,4199134390 
1960,尼日利亚,4196092258 
1960,智利,4110000000 
1960,哥伦比亚,4031152976 
1960,韩国,3958190758 
1960,巴基斯坦,3749265014 
1960,刚果（金）,3359404117 
1960,葡萄牙,3193200404 
1960,泰国,2760747471 
1960,阿尔及利亚,2723648551 
1960,以色列,2598500000 
1960,秘鲁,2571908062 
1960,摩洛哥,2037150716 
1960,爱尔兰,1939329775 
1960,马来西亚,1916241996 
1960,波多黎各,1691900000 
1960,伊拉克,1684121534 
1960,斯里兰卡,1409873949 
1960,香港,1320796651 
1960,苏丹,1307333333 
1960,乌拉圭,1242289239 
1960,加纳,1217230038 
1960,津巴布韦,1052990400 
1960,危地马拉,1043599900 
1960,厄瓜多尔,1010325138 
1960,叙利亚,857704431 
1960,塞内加尔,792824707 
1960,肯尼亚,791265458 
1960,赞比亚,713000000 
1960,新加坡,704756304 
1960,卢森堡,703925705 
1960,牙买加,699050678 
1960,马达加斯加,673081724 
1960,多米尼加,672399700 
1960,柬埔寨,637142865 
1960,喀麦隆,618740988 
1960,玻利维亚,563110051 
1960,科特迪瓦,546203561 
1960,阿富汗,537777811 
1960,巴拿马,537147100 
1960,特立尼达和多巴哥,535670127 
1960,尼泊尔,508334413 
1960,哥斯达黎加,507513829 
1960,尼日尔,449526872 
1960,乌干达,423008385 
1960,洪都拉斯,335650000 
1960,布基纳法索,330442817 
1960,塞拉利昂,322009471 
1960,乍得,313582727 
1960,海地,273187200 
1960,冰岛,248434096 
1960,巴布亚新几内亚,230496032 
1960,贝宁,226195579 
1960,尼加拉瓜,223854666 
1960,布隆迪,195999990 
1960,利比里亚,190495600 
1960,索马里,180459936 
1960,圭亚那,170215248 
1960,巴哈马,169803921 
1960,马拉维,162956740 
1960,加蓬,141468977 
1960,刚果（布）,131731862 
1960,多哥,121128073 
1960,卢旺达,119000024 
1960,斐济群岛,112328422 
1960,中非,112155598 
1960,苏里南,99650000 
1960,毛里塔尼亚,92609243 
1960,百慕大,84466654 
1960,斯威士兰,35076158 
1960,莱索托,34579308 
1960,博茨瓦纳,30412308 
1960,伯利兹,28071888 
1960,圣文森特和格林纳丁斯,13066557 
1960,圣基茨和尼维斯,12366563 
1960,塞舌尔,12012025 
1961,美国,563300000000 
1961,英国,77741965703 
1961,法国,67461644222 
1961,日本,53508617739 
1961,中国,50056868957 
1961,意大利,44842760293 
1961,加拿大,40934952063 
1961,印度,39232435784 
1961,澳大利亚,19652816664 
1961,瑞典,17212686614 
1961,巴西,15236854859 
1961,墨西哥,14160000000 
1961,西班牙,13834300571 
1961,荷兰,13493833739 
1961,比利时,12400145221 
1961,瑞士,10712712465 
1961,委内瑞拉,8189090909 
1961,土耳其,7988888888 
1961,南非,7972996813 
1961,奥地利,7311749633 
1961,菲律宾,7256966966 
1961,丹麦,6933842098 
1961,芬兰,5921659485 
1961,新西兰,5670064168 
1961,挪威,5632460936 
1961,希腊,4961400439 
1961,孟加拉,4817580183 
1961,智利,4609727272 
1961,哥伦比亚,4540447761 
1961,尼日利亚,4467200335 
1961,伊朗,4426949094 
1961,巴基斯坦,4118647627 
1961,葡萄牙,3417516639 
1961,以色列,3138500000 
1961,刚果（金）,3086746857 
1961,泰国,3034043574 
1961,秘鲁,2899654840 
1961,阿尔及利亚,2434776645 
1961,韩国,2417558289 
1961,爱尔兰,2088012282 
1961,摩洛哥,2025689536 
1961,马来西亚,1901868548 
1961,波多黎各,1865100000 
1961,伊拉克,1831700364 
1961,乌拉圭,1547388781 
1961,斯里兰卡,1444327731 
1961,苏丹,1419333333 
1961,香港,1383681651 
1961,加纳,1302674264 
1961,津巴布韦,1096646600 
1961,危地马拉,1076699900 
